player_id,item_name,price,quantity
2108940,Benelli M1 Tactical,4800,1
2108940,Christmas Angel,333250,1
2108940,M4A1 Colt Carbine,19250,1
2108940,Neumune Tablet,2000000,3
2108940,Santa Boots,18000000,1
2108940,Santa Hat,3999999,1
2108940,Santa Trousers,3999999,1
2108940,Senet Board,6999999,1
2261122,Candle,47000,234
2261122,Denim Cache,1000000000,1
2261122,Embosser,13500000,2
2244855,AK-47,15000,1
2244855,Crazy Straw,500000,1
2244855,Sumo Doll,1000000,1
2253863,Bag of Tootsie Rolls,72000,1
2253863,Blood Bag : A+,21500,42
2253863,Shrooms,18750,2
2253863,Sports Shades,100000,2
2211340,Benelli M1 Tactical,20000,1
2211340,Benelli M1 Tactical,20000,1
2211340,Box of Medical Supplies,880000,259
2211340,Bulletproof Vest,43000,1
2211340,Bulletproof Vest,38000,1
2211340,Bulletproof Vest,37000,1
2211340,Denim Cap,999999999,1
2211340,Love Juice,9000000,4
2211340,M4A1 Colt Carbine,13000,1
2211340,M4A1 Colt Carbine,13000,1
2211340,M4A1 Colt Carbine,13000,1
2211340,M4A1 Colt Carbine,13000,1
2211340,M4A1 Colt Carbine,13000,1
2211340,M4A1 Colt Carbine,13000,1
2211340,Pair of Ice Skates,350000,1
2211340,Suit Trousers,6300000,1
2194749,M249 SAW,2500000,1
2194749,M4A1 Colt Carbine,3250000,1
2194749,SIG 550,6000000,1
2194749,Sawed-Off Shotgun,250000,1
2194749,Skorpion,1100000,1
2161567,Crowbar,380,1
2161567,Crowbar,380,1
2161567,Crowbar,380,1
2161567,Drug Pack,4500000,1
2161567,Gift Card,4600000,1
2161567,Smoke Grenade,120000,20
2161567,Vita Bravo,1000000,1
2146125,Brick,12500000,1
2146125,Cherry Blossom,52490,29
2220919,Blouse,11900000,1
2220919,Brick,25000,202235
2220919,Can of Damp Valley,1000000000,520
2220919,Can of Goose Juice,1000000000,446
2220919,Can of Red Cow,1000000000,1289
2220919,Can of Rockstar Rudolph,1000000000,49
2220919,Can of Santa Shooters,1000000000,41
2220919,Can of X-MASS,1000000000,97
2220919,Cardigan,19000000,2
2220919,Full Body Armor,25000000,1
2220919,Full Body Armor,4000000,1
2220919,Full Body Armor,3000000,1
2220919,Full Body Armor,1000000,1
2220919,Lottery Voucher,1150000,134
2253980,Bottle of Kandy Kane,100000,47
2253980,Bottle of Minty Mayhem,200000,48
2253980,Bottle of Pumpkin Brew,100000,65
2253980,Bottle of Wicked Witch,200000,48
2253980,Lion Plushie,64500,108
2253980,Maid Hat,1250000,1
2253980,Monkey Plushie,38000,10
2253980,Panda Plushie,59000,10
2253980,Silver Flats,300000,1
585876,Kodachi,30000000,1
2194775,Cinnamon Decoration,200000,16
2194775,Massage Table,30000,1
2194775,Santa's Snot,75000,186
2194775,Yakitori Lantern,12500,34
2118781,Crucible,730000,1
2118781,Dart Rampager,70000,2
2118781,Macana,50000000,1
2118781,Toner,18021,79
2109107,Cattle Prod,125000000,1
2109107,Snow Cannon,2400000000,1
2158251,Badge : 15th Anniversary,24987654,1
2158251,Birthday Cupcake,24987654,1
